extension/base name - best guess,RVI20,"RVA20 
(64 only)","RVA20 
(64 only)","RVA22 
(64 only)","RVA22 
(64 only)",RVI23,RVA23 (64 only),RVA23 (64 only),RVB23 (64 only),RVB23 (64 only)
Ziccif,n,m,m,m,m,o,m,m,m,m
Zicclsm,o,m,m,m,m,o,m,m,m,m
Ziccrse,n,m,m,m,m,o,m,m,m,m
Zicfilp,n,n,n,n,n,n,n,n,n,n
Zicfiss,n,n,n,n,n,n,n,n,n,n
Zicntr,o,m,m,m,m,o,m,m,m,m
Zicntrpmf,,,,,,,,,,
Zicond,n,n,n,n,n,o,m,m,m,m
Zicsr,n,m,m,m,m,o,m,m,m,m
Zifencei,o,n,m,n,m,n,n,m,n,m
Zihintntl,n,n,n,n,n,o,m,m,m,m
Zihintpause,n,n,n,m,m,o,m,m,m,m
Zihpm,o,o,o,m,m,o,m,m,m,m
Zilsf,n,n,n,n,n,n,n,n,n,n
Zilsm*,n,n,n,n,n,,,,,
Zilsme,n,n,n,n,n,,,,,
Zilsmea,n,n,n,n,n,,,,,
Zilsm<x>b,n,n,n,n,n,,,,,
Zilsp,,,,,,,,,,
Zimop,n,n,n,n,n,?,m,m,m,m
Zjid,n,n,n,n,n,n,n,n,n,n
Zjpm,,,,,,,,,,
Zk,n,n,n,n,n,n,n,n,n,n
Zkn,n,n,n,o,o,n,n,n,n,n
Zknd,n,n,n,p,p,n,n,n,n,n
Zkne,n,n,n,p,p,n,n,n,n,n
Zknh,n,n,n,p,p,n,n,n,n,n
Zkr,n,n,n,n,o,n,n,n,n,n
Zks,n,n,n,o,o,n,n,n,n,n
Zksed,n,n,n,p,p,n,n,n,n,n
Zksh,n,n,n,p,p,n,n,n,n,n
Zkt,n,n,n,m,m,?,m,m,m,m
Zmmul,n,n,n,n,n,n,n,n,n,n
Ztso,n,n,n,n,n,n,n,n,n,n
Zvbb,n,n,n,n,n,o,m,m,o,o
Zvbc,n,n,n,n,n,o,o,o,o,o
Zvbc32e,n,n,n,n,n,n,n,n,n,n
Zve32d,n,n,n,n,n,n,n,n,n,n
Zve32f,n,n,n,n,n,n,n,n,n,n
Zve32x,n,n,n,n,n,n,n,n,n,n
