extension,RVI20,"RVA20 
(64 only) – U","RVA20 
(64 only) – S","RVA22 
(64 only) – U","RVA22 
(64 only) – S",RVI23 – U,RVA23 (64 only) – U,RVA23 (64 only) – S,RVB23 (64 only) – U,RVB23 (64 only) – S
Ziccamoc,False,True,True,True,True,True,True,True,True,True
Ziccif,False,True,True,True,True,True,True,True,True,True
Zicclsm,True,True,True,True,True,True,True,True,True,True
Ziccrse,False,True,True,True,True,True,True,True,True,True
Zicfilp,False,False,False,False,False,False,False,False,False,False
Zicfiss,False,False,False,False,False,False,False,False,False,False
Zicntr,True,True,True,True,True,True,True,True,True,True
Zicntrpmf,True,True,True,True,True,True,True,True,True,True
Zicond,False,False,False,False,False,True,True,True,True,True
Zicsr,False,True,True,True,True,True,True,True,True,True
Zifencei,True,False,True,False,True,False,False,True,False,True
Zihintntl,False,False,False,False,False,True,True,True,True,True
Zihintpause,False,False,False,True,True,True,True,True,True,True
Zihpm,True,True,True,True,True,True,True,True,True,True
Zilsf,False,False,False,False,False,False,False,False,False,False
Zilsm*,False,False,False,False,False,True,True,True,True,True
Zilsme,False,False,False,False,False,True,True,True,True,True
Zilsmea,False,False,False,False,False,True,True,True,True,True
Zilsm<x>b,False,False,False,False,False,True,True,True,True,True
Zilsp,True,True,True,True,True,True,True,True,True,True
Zimop,False,False,False,False,False,True,True,True,True,True
Zjid,False,False,False,False,False,False,False,False,False,False
Zjpm,True,True,True,True,True,True,True,True,True,True
Zk,False,False,False,False,False,False,False,False,False,False
Zkn,False,False,False,True,True,False,False,False,False,False
Zknd,False,False,False,True,True,False,False,False,False,False
Zkne,False,False,False,True,True,False,False,False,False,False
Zknh,False,False,False,True,True,False,False,False,False,False
Zkr,False,False,False,False,True,False,False,False,False,False
Zks,False,False,False,True,True,False,False,False,False,False
Zksed,False,False,False,True,True,False,False,False,False,False
Zksh,False,False,False,True,True,False,False,False,False,False
Zkt,False,False,False,True,True,True,True,True,True,True
Zmmul,False,False,False,False,False,False,False,False,False,False
Ztso,False,False,False,False,False,False,False,False,False,False
Zvbb,False,False,False,False,False,True,True,True,True,True
Zvbc,False,False,False,False,False,True,True,True,True,True
Zvbc32e,False,False,False,False,False,False,False,False,False,False
Zve32d,False,False,False,False,False,False,False,False,False,False
Zve32f,False,False,False,False,False,False,False,False,False,False
Zve32x,False,False,False,False,False,False,False,False,False,False
Zve64d,False,False,False,False,False,False,False,False,False,False
Zve64f,False,False,False,False,False,False,False,False,False,False
